"Time (UTCG)","Lat (deg)","Lon (deg)","Alt (km)","Lat Rate (deg/sec)","Lon Rate (deg/sec)","Alt Rate (km/sec)"
14 Mar 2023 04:00:00.000,-67.277,-91.079,1468.174477,0.051181,0.020013,-0.013681
14 Mar 2023 04:01:00.000,-64.203,-90.043,1467.311259,0.051384,0.014890,-0.015095
14 Mar 2023 04:02:00.000,-61.118,-89.265,1466.368514,0.051535,0.011309,-0.016332
14 Mar 2023 04:03:00.000,-58.026,-88.669,1465.357414,0.051653,0.008713,-0.017374
14 Mar 2023 04:04:00.000,-54.927,-88.208,1464.289954,0.051749,0.006776,-0.018210
14 Mar 2023 04:05:00.000,-51.823,-87.849,1463.178810,0.051830,0.005294,-0.018830
14 Mar 2023 04:06:00.000,-48.714,-87.568,1462.037192,0.051901,0.004139,-0.019226
14 Mar 2023 04:07:00.000,-45.602,-87.349,1460.878689,0.051964,0.003223,-0.019393
14 Mar 2023 04:08:00.000,-42.485,-87.179,1459.717108,0.052020,0.002488,-0.019329
14 Mar 2023 04:09:00.000,-39.366,-87.049,1458.566309,0.052072,0.001891,-0.019034
14 Mar 2023 04:10:00.000,-36.243,-86.951,1457.440040,0.052119,0.001402,-0.018511
14 Mar 2023 04:11:00.000,-33.118,-86.880,1456.351774,0.052162,0.000999,-0.017767
14 Mar 2023 04:12:00.000,-29.991,-86.831,1455.314542,0.052202,0.000665,-0.016810
14 Mar 2023 04:13:00.000,-26.861,-86.800,1454.340781,0.052238,0.000390,-0.015651
14 Mar 2023 04:14:00.000,-23.729,-86.784,1453.442175,0.052270,0.000161,-0.014304
14 Mar 2023 04:15:00.000,-20.595,-86.781,1452.629522,0.052298,-0.000026,-0.012786
14 Mar 2023 04:16:00.000,-17.460,-86.788,1451.912592,0.052323,-0.000178,-0.011113
14 Mar 2023 04:17:00.000,-14.323,-86.803,1451.300014,0.052343,-0.000300,-0.009307
14 Mar 2023 04:18:00.000,-11.185,-86.824,1450.799165,0.052360,-0.000394,-0.007389
14 Mar 2023 04:19:00.000,-8.047,-86.851,1450.416079,0.052373,-0.000463,-0.005381
14 Mar 2023 04:20:00.000,-4.907,-86.880,1450.155376,0.052381,-0.000508,-0.003309
14 Mar 2023 04:21:00.000,-1.767,-86.912,1450.020199,0.052386,-0.000531,-0.001197
14 Mar 2023 04:22:00.000,1.372,-86.945,1450.012179,0.052386,-0.000533,0.000930
14 Mar 2023 04:23:00.000,4.512,-86.976,1450.131413,0.052382,-0.000512,0.003045
14 Mar 2023 04:24:00.000,7.652,-87.006,1450.376461,0.052374,-0.000470,0.005124
14 Mar 2023 04:25:00.000,10.790,-87.033,1450.744370,0.052362,-0.000404,0.007141
14 Mar 2023 04:26:00.000,13.928,-87.055,1451.230703,0.052346,-0.000313,0.009071
14 Mar 2023 04:27:00.000,17.065,-87.071,1451.829600,0.052325,-0.000195,0.010893
14 Mar 2023 04:28:00.000,20.201,-87.079,1452.533848,0.052301,-0.000047,0.012583
14 Mar 2023 04:29:00.000,23.335,-87.077,1453.334970,0.052273,0.000136,0.014122
14 Mar 2023 04:30:00.000,26.467,-87.063,1454.223333,0.052242,0.000358,0.015491
14 Mar 2023 04:31:00.000,29.597,-87.034,1455.188263,0.052206,0.000628,0.016675
14 Mar 2023 04:32:00.000,32.725,-86.988,1456.218177,0.052168,0.000953,0.017658
14 Mar 2023 04:33:00.000,35.850,-86.920,1457.300727,0.052125,0.001347,0.018429
14 Mar 2023 04:34:00.000,38.973,-86.826,1458.422947,0.052078,0.001824,0.018980
14 Mar 2023 04:35:00.000,42.093,-86.700,1459.571411,0.052027,0.002406,0.019304
14 Mar 2023 04:36:00.000,45.210,-86.536,1460.732397,0.051971,0.003122,0.019398
14 Mar 2023 04:37:00.000,48.323,-86.323,1461.892049,0.051909,0.004012,0.019260
14 Mar 2023 04:38:00.000,51.432,-86.051,1463.036546,0.051840,0.005133,0.018892
14 Mar 2023 04:39:00.000,54.537,-85.703,1464.152261,0.051760,0.006567,0.018300
14 Mar 2023 04:40:00.000,57.636,-85.256,1465.225928,0.051666,0.008438,0.017491
14 Mar 2023 04:41:00.000,60.730,-84.680,1466.244795,0.051551,0.010936,0.016474
14 Mar 2023 04:42:00.000,63.815,-83.928,1467.196775,0.051406,0.014369,0.015261
14 Mar 2023 04:43:00.000,66.891,-82.930,1468.070584,0.051211,0.019256,0.013868
14 Mar 2023 04:44:00.000,69.953,-81.573,1468.855877,0.050933,0.026528,0.012310
14 Mar 2023 04:45:00.000,72.994,-79.668,1469.543363,0.050507,0.037988,0.010607
14 Mar 2023 04:46:00.000,76.001,-76.864,1470.124917,0.049792,0.057447,0.008779
14 Mar 2023 04:47:00.000,78.950,-72.451,1470.593667,0.048440,0.093957,0.006847
14 Mar 2023 04:48:00.000,81.776,-64.800,1470.944080,0.045434,0.171993,0.004834
14 Mar 2023 04:49:00.000,84.297,-49.676,1471.172021,0.037191,0.360804,0.002764
14 Mar 2023 04:50:00.000,85.904,-17.862,1471.274800,0.012357,0.702172,0.000662
14 Mar 2023 04:51:00.000,85.485,23.962,1471.251206,-0.024550,0.577315,-0.001448
14 Mar 2023 04:52:00.000,83.416,48.383,1471.101515,-0.041362,0.269932,-0.003542
14 Mar 2023 04:53:00.000,80.743,59.922,1470.827495,-0.046876,0.135134,-0.005593
14 Mar 2023 04:54:00.000,77.860,66.068,1470.432378,-0.049058,0.077339,-0.007578
14 Mar 2023 04:55:00.000,74.884,69.760,1469.920828,-0.050108,0.048857,-0.009474
14 Mar 2023 04:56:00.000,71.862,72.171,1469.298885,-0.050690,0.033047,-0.011258
14 Mar 2023 04:57:00.000,68.812,73.842,1468.573898,-0.051049,0.023449,-0.012909
14 Mar 2023 04:58:00.000,65.745,75.048,1467.754440,-0.051291,0.017216,-0.014408
14 Mar 2023 04:59:00.000,62.665,75.944,1466.850208,-0.051465,0.012952,-0.015735
14 Mar 2023 05:00:00.000,59.577,76.624,1465.871911,-0.051597,0.009915,-0.016877
14 Mar 2023 05:01:00.000,56.481,77.147,1464.831149,-0.051703,0.007679,-0.017818
14 Mar 2023 05:02:00.000,53.379,77.554,1463.740275,-0.051791,0.005989,-0.018547
14 Mar 2023 05:03:00.000,50.273,77.872,1462.612249,-0.051867,0.004683,-0.019056
14 Mar 2023 05:04:00.000,47.162,78.120,1461.460491,-0.051933,0.003657,-0.019338
14 Mar 2023 05:05:00.000,44.047,78.313,1460.298720,-0.051993,0.002837,-0.019390
14 Mar 2023 05:06:00.000,40.929,78.462,1459.140788,-0.052047,0.002175,-0.019210
14 Mar 2023 05:07:00.000,37.808,78.575,1458.000522,-0.052096,0.001635,-0.018801
14 Mar 2023 05:08:00.000,34.685,78.659,1456.891552,-0.052141,0.001191,-0.018167
14 Mar 2023 05:09:00.000,31.558,78.719,1455.827150,-0.052182,0.000825,-0.017315
14 Mar 2023 05:10:00.000,28.429,78.758,1454.820071,-0.052220,0.000521,-0.016256
14 Mar 2023 05:11:00.000,25.298,78.781,1453.882395,-0.052254,0.000270,-0.015002
14 Mar 2023 05:12:00.000,22.166,78.790,1453.025380,-0.052284,0.000063,-0.013567
14 Mar 2023 05:13:00.000,19.031,78.788,1452.259329,-0.052311,-0.000106,-0.011969
14 Mar 2023 05:14:00.000,15.895,78.777,1451.593455,-0.052333,-0.000243,-0.010228
14 Mar 2023 05:15:00.000,12.758,78.759,1451.035776,-0.052352,-0.000350,-0.008363
14 Mar 2023 05:16:00.000,9.620,78.735,1450.593009,-0.052367,-0.000431,-0.006397
14 Mar 2023 05:17:00.000,6.480,78.707,1450.270491,-0.052378,-0.000488,-0.004354
14 Mar 2023 05:18:00.000,3.341,78.676,1450.072111,-0.052384,-0.000523,-0.002259
14 Mar 2023 05:19:00.000,0.201,78.644,1450.000262,-0.052387,-0.000535,-0.000136
14 Mar 2023 05:20:00.000,-2.939,78.611,1450.055809,-0.052385,-0.000525,0.001988
14 Mar 2023 05:21:00.000,-6.078,78.580,1450.238085,-0.052379,-0.000494,0.004088
14 Mar 2023 05:22:00.000,-9.217,78.551,1450.544889,-0.052369,-0.000440,0.006139
14 Mar 2023 05:23:00.000,-12.356,78.527,1450.972522,-0.052354,-0.000362,0.008116
14 Mar 2023 05:24:00.000,-15.493,78.508,1451.515829,-0.052336,-0.000258,0.009995
14 Mar 2023 05:25:00.000,-18.629,78.495,1452.168266,-0.052314,-0.000125,0.011754
14 Mar 2023 05:26:00.000,-21.764,78.492,1452.921977,-0.052288,0.000040,0.013371
14 Mar 2023 05:27:00.000,-24.897,78.500,1453.767894,-0.052258,0.000241,0.014828
14 Mar 2023 05:28:00.000,-28.029,78.521,1454.695848,-0.052225,0.000486,0.016106
14 Mar 2023 05:29:00.000,-31.158,78.558,1455.694697,-0.052188,0.000782,0.017191
14 Mar 2023 05:30:00.000,-34.284,78.615,1456.752456,-0.052147,0.001140,0.018070
14 Mar 2023 05:31:00.000,-37.409,78.695,1457.856449,-0.052102,0.001573,0.018732
14 Mar 2023 05:32:00.000,-40.530,78.804,1458.993462,-0.052053,0.002099,0.019170
14 Mar 2023 05:33:00.000,-43.648,78.948,1460.149901,-0.052000,0.002744,0.019380
14 Mar 2023 05:34:00.000,-46.763,79.135,1461.311955,-0.051941,0.003541,0.019358
14 Mar 2023 05:35:00.000,-49.874,79.376,1462.465766,-0.051876,0.004538,0.019105
14 Mar 2023 05:36:00.000,-52.982,79.684,1463.597588,-0.051801,0.005803,0.018625
14 Mar 2023 05:37:00.000,-56.084,80.078,1464.693956,-0.051715,0.007436,0.017923
14 Mar 2023 05:38:00.000,-59.180,80.584,1465.741841,-0.051612,0.009590,0.017009
14 Mar 2023 05:39:00.000,-62.270,81.242,1466.728803,-0.051484,0.012506,0.015892
14 Mar 2023 05:40:00.000,-65.351,82.106,1467.643140,-0.051316,0.016580,0.014588
14 Mar 2023 05:41:00.000,-68.420,83.265,1468.474020,-0.051085,0.022502,0.013110
14 Mar 2023 05:42:00.000,-71.473,84.864,1469.211611,-0.050745,0.031553,0.011478
14 Mar 2023 05:43:00.000,-74.499,87.158,1469.847189,-0.050201,0.046318,0.009710
14 Mar 2023 05:44:00.000,-77.482,90.639,1470.373244,-0.049235,0.072574,0.007827
14 Mar 2023 05:45:00.000,-80.382,96.363,1470.783564,-0.047267,0.124954,0.005852
14 Mar 2023 05:46:00.000,-83.094,106.925,1471.073306,-0.042431,0.245100,0.003807
14 Mar 2023 05:47:00.000,-85.283,129.076,1471.239051,-0.027886,0.528786,0.001718
14 Mar 2023 05:48:00.000,-85.980,169.643,1471.278844,0.007447,0.729155,-0.000391
14 Mar 2023 05:49:00.000,-84.575,-155.955,1471.192215,0.035286,0.399096,-0.002496
14 Mar 2023 05:50:00.000,-82.123,-139.297,1470.980186,0.044805,0.187717,-0.004572
14 Mar 2023 05:51:00.000,-79.321,-131.013,1470.645258,0.048183,0.100803,-0.006593
14 Mar 2023 05:52:00.000,-76.383,-126.307,1470.191385,0.049666,0.060879,-0.008537
14 Mar 2023 05:53:00.000,-73.381,-123.348,1469.623924,0.050436,0.039916,-0.010380
14 Mar 2023 05:54:00.000,-70.343,-121.352,1468.949577,0.050889,0.027709,-0.012100
14 Mar 2023 05:55:00.000,-67.284,-119.938,1468.176317,0.051181,0.020027,-0.013677
14 Mar 2023 05:56:00.000,-64.210,-118.902,1467.313289,0.051384,0.014899,-0.015092
14 Mar 2023 05:57:00.000,-61.125,-118.123,1466.370710,0.051535,0.011316,-0.016329
14 Mar 2023 05:58:00.000,-58.033,-117.527,1465.359751,0.051653,0.008718,-0.017372
14 Mar 2023 05:59:00.000,-54.934,-117.065,1464.292403,0.051749,0.006779,-0.018209
14 Mar 2023 06:00:00.000,-51.830,-116.706,1463.181342,0.051830,0.005297,-0.018829
14 Mar 2023 06:01:00.000,-48.721,-116.425,1462.039777,0.051901,0.004141,-0.019225
14 Mar 2023 06:02:00.000,-45.609,-116.206,1460.881297,0.051964,0.003225,-0.019393
14 Mar 2023 06:03:00.000,-42.492,-116.036,1459.719707,0.052020,0.002489,-0.019329
14 Mar 2023 06:04:00.000,-39.373,-115.906,1458.568868,0.052072,0.001892,-0.019034
14 Mar 2023 06:05:00.000,-36.250,-115.808,1457.442530,0.052119,0.001403,-0.018512
14 Mar 2023 06:06:00.000,-33.125,-115.737,1456.354163,0.052162,0.001000,-0.017769
14 Mar 2023 06:07:00.000,-29.998,-115.688,1455.316803,0.052202,0.000666,-0.016812
14 Mar 2023 06:08:00.000,-26.868,-115.657,1454.342885,0.052237,0.000390,-0.015654
14 Mar 2023 06:09:00.000,-23.736,-115.641,1453.444099,0.052270,0.000162,-0.014307
14 Mar 2023 06:10:00.000,-20.602,-115.637,1452.631241,0.052298,-0.000026,-0.012789
14 Mar 2023 06:11:00.000,-17.467,-115.644,1451.914087,0.052323,-0.000178,-0.011117
14 Mar 2023 06:12:00.000,-14.330,-115.659,1451.301266,0.052343,-0.000300,-0.009311
14 Mar 2023 06:13:00.000,-11.192,-115.681,1450.800159,0.052360,-0.000394,-0.007393
14 Mar 2023 06:14:00.000,-8.054,-115.707,1450.416803,0.052373,-0.000463,-0.005386
14 Mar 2023 06:15:00.000,-4.914,-115.737,1450.155821,0.052381,-0.000508,-0.003314
14 Mar 2023 06:16:00.000,-1.775,-115.768,1450.020360,0.052386,-0.000531,-0.001202
14 Mar 2023 06:17:00.000,1.365,-115.801,1450.012054,0.052386,-0.000533,0.000925
14 Mar 2023 06:18:00.000,4.505,-115.833,1450.131003,0.052382,-0.000512,0.003040
14 Mar 2023 06:19:00.000,7.644,-115.863,1450.375773,0.052374,-0.000470,0.005119
14 Mar 2023 06:20:00.000,10.783,-115.890,1450.743410,0.052362,-0.000404,0.007136
14 Mar 2023 06:21:00.000,13.921,-115.912,1451.229484,0.052346,-0.000313,0.009067
14 Mar 2023 06:22:00.000,17.058,-115.928,1451.828136,0.052325,-0.000196,0.010889
14 Mar 2023 06:23:00.000,20.194,-115.936,1452.532156,0.052301,-0.000047,0.012580
14 Mar 2023 06:24:00.000,23.327,-115.934,1453.333071,0.052273,0.000135,0.014119
14 Mar 2023 06:25:00.000,26.460,-115.920,1454.221250,0.052242,0.000358,0.015489
14 Mar 2023 06:26:00.000,29.590,-115.891,1455.186021,0.052207,0.000627,0.016672
14 Mar 2023 06:27:00.000,32.718,-115.844,1456.215803,0.052168,0.000952,0.017656
14 Mar 2023 06:28:00.000,35.843,-115.776,1457.298249,0.052125,0.001346,0.018428
14 Mar 2023 06:29:00.000,38.966,-115.682,1458.420395,0.052078,0.001823,0.018979
14 Mar 2023 06:30:00.000,42.086,-115.557,1459.568815,0.052027,0.002404,0.019304
14 Mar 2023 06:31:00.000,45.203,-115.392,1460.729789,0.051971,0.003120,0.019398
14 Mar 2023 06:32:00.000,48.316,-115.180,1461.889460,0.051909,0.004010,0.019260
14 Mar 2023 06:33:00.000,51.425,-114.908,1463.034005,0.051840,0.005130,0.018894
14 Mar 2023 06:34:00.000,54.530,-114.560,1464.149800,0.051760,0.006564,0.018302
14 Mar 2023 06:35:00.000,57.629,-114.114,1465.223576,0.051666,0.008433,0.017493
14 Mar 2023 06:36:00.000,60.723,-113.538,1466.242580,0.051552,0.010930,0.016476
14 Mar 2023 06:37:00.000,63.808,-112.786,1467.194723,0.051406,0.014360,0.015264
14 Mar 2023 06:38:00.000,66.884,-111.789,1468.068719,0.051211,0.019242,0.013871
14 Mar 2023 06:39:00.000,69.946,-110.433,1468.854221,0.050934,0.026508,0.012314
14 Mar 2023 06:40:00.000,72.987,-108.530,1469.541937,0.050508,0.037955,0.010611
14 Mar 2023 06:41:00.000,75.995,-105.728,1470.123736,0.049794,0.057389,0.008783
14 Mar 2023 06:42:00.000,78.943,-101.320,1470.592746,0.048444,0.093843,0.006851
14 Mar 2023 06:43:00.000,81.770,-93.679,1470.943430,0.045444,0.171733,0.004839
14 Mar 2023 06:44:00.000,84.292,-78.581,1471.171649,0.037222,0.360167,0.002769
14 Mar 2023 06:45:00.000,85.902,-46.813,1471.274711,0.012441,0.701598,0.000667
14 Mar 2023 06:46:00.000,85.488,-4.973,1471.251400,-0.024488,0.578164,-0.001444
14 Mar 2023 06:47:00.000,83.421,19.491,1471.101991,-0.041342,0.270393,-0.003537
14 Mar 2023 06:48:00.000,80.750,31.047,1470.828247,-0.046869,0.135322,-0.005589
14 Mar 2023 06:49:00.000,77.866,37.202,1470.433397,-0.049055,0.077426,-0.007574
14 Mar 2023 06:50:00.000,74.891,40.897,1469.922101,-0.050106,0.048903,-0.009470
14 Mar 2023 06:51:00.000,71.869,43.311,1469.300398,-0.050689,0.033074,-0.011255
14 Mar 2023 06:52:00.000,68.819,44.982,1468.575634,-0.051049,0.023466,-0.012906
14 Mar 2023 06:53:00.000,65.752,46.189,1467.756377,-0.051290,0.017227,-0.014405
14 Mar 2023 06:54:00.000,62.672,47.086,1466.852324,-0.051464,0.012960,-0.015733
14 Mar 2023 06:55:00.000,59.584,47.766,1465.874181,-0.051597,0.009921,-0.016874
14 Mar 2023 06:56:00.000,56.488,48.290,1464.833545,-0.051703,0.007683,-0.017816
14 Mar 2023 06:57:00.000,53.386,48.697,1463.742769,-0.051791,0.005992,-0.018546
14 Mar 2023 06:58:00.000,50.280,49.015,1462.614811,-0.051866,0.004686,-0.019055
14 Mar 2023 06:59:00.000,47.169,49.263,1461.463092,-0.051933,0.003659,-0.019338
14 Mar 2023 07:00:00.000,44.054,49.456,1460.301327,-0.051993,0.002839,-0.019390
14 Mar 2023 07:01:00.000,40.936,49.605,1459.143372,-0.052047,0.002176,-0.019211
14 Mar 2023 07:02:00.000,37.815,49.719,1458.003050,-0.052096,0.001636,-0.018802
14 Mar 2023 07:03:00.000,34.692,49.802,1456.893995,-0.052141,0.001192,-0.018169
14 Mar 2023 07:04:00.000,31.565,49.862,1455.829479,-0.052182,0.000825,-0.017317
14 Mar 2023 07:05:00.000,28.436,49.902,1454.822257,-0.052220,0.000522,-0.016259
14 Mar 2023 07:06:00.000,25.306,49.925,1453.884412,-0.052254,0.000271,-0.015005
14 Mar 2023 07:07:00.000,22.173,49.934,1453.027205,-0.052284,0.000064,-0.013570
14 Mar 2023 07:08:00.000,19.038,49.932,1452.260939,-0.052311,-0.000106,-0.011973
14 Mar 2023 07:09:00.000,15.902,49.921,1451.594831,-0.052333,-0.000242,-0.010232
14 Mar 2023 07:10:00.000,12.765,49.903,1451.036901,-0.052352,-0.000350,-0.008367
14 Mar 2023 07:11:00.000,9.627,49.879,1450.593869,-0.052367,-0.000431,-0.006401
14 Mar 2023 07:12:00.000,6.488,49.850,1450.271077,-0.052378,-0.000488,-0.004359
14 Mar 2023 07:13:00.000,3.348,49.819,1450.072415,-0.052384,-0.000522,-0.002264
14 Mar 2023 07:14:00.000,0.208,49.787,1450.000280,-0.052387,-0.000535,-0.000141
14 Mar 2023 07:15:00.000,-2.932,49.755,1450.055542,-0.052385,-0.000525,0.001983
14 Mar 2023 07:16:00.000,-6.071,49.724,1450.237535,-0.052379,-0.000494,0.004084
14 Mar 2023 07:17:00.000,-9.210,49.695,1450.544063,-0.052369,-0.000440,0.006135
14 Mar 2023 07:18:00.000,-12.349,49.670,1450.971431,-0.052354,-0.000362,0.008112
14 Mar 2023 07:19:00.000,-15.486,49.651,1451.514485,-0.052336,-0.000258,0.009991
14 Mar 2023 07:20:00.000,-18.622,49.639,1452.166686,-0.052314,-0.000126,0.011750
14 Mar 2023 07:21:00.000,-21.757,49.636,1452.920179,-0.052288,0.000039,0.013368
14 Mar 2023 07:22:00.000,-24.890,49.643,1453.765900,-0.052258,0.000241,0.014825
14 Mar 2023 07:23:00.000,-28.021,49.664,1454.693683,-0.052225,0.000486,0.016103
14 Mar 2023 07:24:00.000,-31.151,49.702,1455.692385,-0.052188,0.000782,0.017189
14 Mar 2023 07:25:00.000,-34.277,49.758,1456.750026,-0.052147,0.001139,0.018068
14 Mar 2023 07:26:00.000,-37.401,49.839,1457.853930,-0.052102,0.001572,0.018731
14 Mar 2023 07:27:00.000,-40.523,49.948,1458.990884,-0.052053,0.002098,0.019170
14 Mar 2023 07:28:00.000,-43.641,50.092,1460.147295,-0.052000,0.002743,0.019380
14 Mar 2023 07:29:00.000,-46.756,50.278,1461.309352,-0.051941,0.003539,0.019358
14 Mar 2023 07:30:00.000,-49.867,50.519,1462.463197,-0.051876,0.004536,0.019106
14 Mar 2023 07:31:00.000,-52.975,50.827,1463.595084,-0.051802,0.005800,0.018626
14 Mar 2023 07:32:00.000,-56.077,51.220,1464.691546,-0.051715,0.007432,0.017925
14 Mar 2023 07:33:00.000,-59.173,51.727,1465.739554,-0.051612,0.009585,0.017011
14 Mar 2023 07:34:00.000,-62.263,52.383,1466.726666,-0.051484,0.012498,0.015895
14 Mar 2023 07:35:00.000,-65.344,53.247,1467.641178,-0.051317,0.016569,0.014591
14 Mar 2023 07:36:00.000,-68.413,54.405,1468.472257,-0.051086,0.022486,0.013114
14 Mar 2023 07:37:00.000,-71.466,56.003,1469.210067,-0.050746,0.031527,0.011482
14 Mar 2023 07:38:00.000,-74.493,58.296,1469.845883,-0.050202,0.046275,0.009714
14 Mar 2023 07:39:00.000,-77.476,61.773,1470.372191,-0.049238,0.072494,0.007831
14 Mar 2023 07:40:00.000,-80.376,67.490,1470.782777,-0.047273,0.124785,0.005856
14 Mar 2023 07:41:00.000,-83.088,78.035,1471.072794,-0.042449,0.244691,0.003812
14 Mar 2023 07:42:00.000,-85.279,100.148,1471.238820,-0.027941,0.527940,0.001723
14 Mar 2023 07:43:00.000,-85.981,140.689,1471.278896,0.007359,0.729518,-0.000387
14 Mar 2023 07:44:00.000,-84.580,175.135,1471.192550,0.035250,0.399800,-0.002492
