"Time (UTCG)","Lat (deg)","Lon (deg)","Alt (km)","Lat Rate (deg/sec)","Lon Rate (deg/sec)","Alt Rate (km/sec)"
14 Mar 2023 04:00:00.000,-45.017,12.471,1460.660546,-0.051975,0.003073,0.019399
14 Mar 2023 04:01:00.000,-48.131,12.680,1461.820682,-0.051913,0.003951,0.019275
14 Mar 2023 04:02:00.000,-51.240,12.948,1462.966513,-0.051844,0.005056,0.018922
14 Mar 2023 04:03:00.000,-54.345,13.291,1464.084396,-0.051765,0.006468,0.018343
14 Mar 2023 04:04:00.000,-57.445,13.730,1465.161038,-0.051672,0.008307,0.017547
14 Mar 2023 04:05:00.000,-60.539,14.298,1466.183649,-0.051559,0.010759,0.016542
14 Mar 2023 04:06:00.000,-63.625,15.037,1467.140098,-0.051416,0.014121,0.015341
14 Mar 2023 04:07:00.000,-66.701,16.017,1468.019049,-0.051225,0.018897,0.013959
14 Mar 2023 04:08:00.000,-69.764,17.347,1468.810092,-0.050953,0.025982,0.012411
14 Mar 2023 04:09:00.000,-72.806,19.210,1469.503871,-0.050540,0.037103,0.010717
14 Mar 2023 04:10:00.000,-75.817,21.944,1470.092183,-0.049849,0.055887,0.008895
14 Mar 2023 04:11:00.000,-78.770,26.225,1470.568079,-0.048555,0.090883,0.006969
14 Mar 2023 04:12:00.000,-81.607,33.594,1470.925940,-0.045710,0.165027,0.004961
14 Mar 2023 04:13:00.000,-84.158,48.037,1471.161543,-0.038013,0.343666,0.002893
14 Mar 2023 04:14:00.000,-85.854,78.586,1471.272107,-0.014615,0.685275,0.000792
14 Mar 2023 04:15:00.000,-85.572,120.798,1471.256330,0.022783,0.600528,-0.001318
14 Mar 2023 04:16:00.000,-83.568,146.377,1471.114396,0.040789,0.282994,-0.003413
14 Mar 2023 04:17:00.000,-80.917,158.429,1470.847980,0.046671,0.140451,-0.005468
14 Mar 2023 04:18:00.000,-78.041,164.795,1470.460226,0.048967,0.079794,-0.007458
14 Mar 2023 04:19:00.000,-75.070,168.594,1469.955710,0.050060,0.050151,-0.009360
