"Time (UTCG)","Lat (deg)","Lon (deg)","Alt (km)","Lat Rate (deg/sec)","Lon Rate (deg/sec)","Alt Rate (km/sec)"
14 Mar 2023 04:00:00.000,45.017,132.471,1460.660546,0.051975,0.003073,0.019399
14 Mar 2023 04:01:00.000,48.131,132.680,1461.820682,0.051913,0.003951,0.019275
14 Mar 2023 04:02:00.000,51.240,132.948,1462.966513,0.051844,0.005056,0.018922
14 Mar 2023 04:03:00.000,54.345,133.291,1464.084396,0.051765,0.006468,0.018343
14 Mar 2023 04:04:00.000,57.445,133.730,1465.161038,0.051672,0.008307,0.017547
14 Mar 2023 04:05:00.000,60.539,134.298,1466.183649,0.051559,0.010759,0.016542
14 Mar 2023 04:06:00.000,63.625,135.037,1467.140098,0.051416,0.014121,0.015341
14 Mar 2023 04:07:00.000,66.701,136.017,1468.019049,0.051225,0.018897,0.013959
14 Mar 2023 04:08:00.000,69.764,137.347,1468.810092,0.050953,0.025982,0.012411
14 Mar 2023 04:09:00.000,72.806,139.210,1469.503871,0.050540,0.037103,0.010717
14 Mar 2023 04:10:00.000,75.817,141.944,1470.092183,0.049849,0.055887,0.008895
14 Mar 2023 04:11:00.000,78.770,146.225,1470.568079,0.048555,0.090883,0.006969
14 Mar 2023 04:12:00.000,81.607,153.594,1470.925940,0.045710,0.165027,0.004961
14 Mar 2023 04:13:00.000,84.158,168.037,1471.161543,0.038013,0.343666,0.002893
14 Mar 2023 04:14:00.000,85.854,-161.414,1471.272107,0.014615,0.685275,0.000792
14 Mar 2023 04:15:00.000,85.572,-119.202,1471.256330,-0.022783,0.600528,-0.001318
14 Mar 2023 04:16:00.000,83.568,-93.623,1471.114396,-0.040789,0.282994,-0.003413
14 Mar 2023 04:17:00.000,80.917,-81.571,1470.847980,-0.046671,0.140451,-0.005468
14 Mar 2023 04:18:00.000,78.041,-75.205,1470.460226,-0.048967,0.079794,-0.007458
14 Mar 2023 04:19:00.000,75.070,-71.406,1469.955710,-0.050060,0.050151,-0.009360
14 Mar 2023 04:20:00.000,72.050,-68.935,1469.340389,-0.050662,0.033803,-0.011152
14 Mar 2023 04:21:00.000,69.001,-67.228,1468.621534,-0.051031,0.023925,-0.012812
14 Mar 2023 04:22:00.000,65.935,-65.999,1467.807644,-0.051278,0.017534,-0.014320
14 Mar 2023 04:23:00.000,62.856,-65.087,1466.908350,-0.051455,0.013175,-0.015659
14 Mar 2023 04:24:00.000,59.768,-64.396,1465.934303,-0.051590,0.010076,-0.016812
14 Mar 2023 04:25:00.000,56.672,-63.864,1464.897050,-0.051697,0.007799,-0.017766
14 Mar 2023 04:26:00.000,53.571,-63.451,1463.808902,-0.051786,0.006081,-0.018508
14 Mar 2023 04:27:00.000,50.465,-63.128,1462.682787,-0.051862,0.004755,-0.019031
14 Mar 2023 04:28:00.000,47.354,-62.876,1461.532101,-0.051929,0.003713,-0.019327
14 Mar 2023 04:29:00.000,44.240,-62.680,1460.370547,-0.051989,0.002883,-0.019393
14 Mar 2023 04:30:00.000,41.122,-62.528,1459.211976,-0.052044,0.002212,-0.019228
14 Mar 2023 04:31:00.000,38.001,-62.413,1458.070220,-0.052093,0.001665,-0.018833
14 Mar 2023 04:32:00.000,34.878,-62.328,1456.958926,-0.052139,0.001216,-0.018212
14 Mar 2023 04:33:00.000,31.751,-62.267,1455.891395,-0.052180,0.000845,-0.017374
14 Mar 2023 04:34:00.000,28.623,-62.226,1454.880415,-0.052218,0.000538,-0.016327
14 Mar 2023 04:35:00.000,25.492,-62.202,1453.938114,-0.052252,0.000284,-0.015085
14 Mar 2023 04:36:00.000,22.359,-62.192,1453.075806,-0.052282,0.000075,-0.013661
14 Mar 2023 04:37:00.000,19.225,-62.193,1452.303854,-0.052309,-0.000097,-0.012072
14 Mar 2023 04:38:00.000,16.089,-62.204,1451.631545,-0.052332,-0.000235,-0.010339
14 Mar 2023 04:39:00.000,12.952,-62.222,1451.066971,-0.052351,-0.000344,-0.008481
14 Mar 2023 04:40:00.000,9.813,-62.246,1450.616933,-0.052366,-0.000427,-0.006521
14 Mar 2023 04:41:00.000,6.674,-62.274,1450.286856,-0.052377,-0.000485,-0.004482
14 Mar 2023 04:42:00.000,3.535,-62.305,1450.080719,-0.052384,-0.000521,-0.002389
14 Mar 2023 04:43:00.000,0.395,-62.337,1450.001010,-0.052387,-0.000535,-0.000268
14 Mar 2023 04:44:00.000,-2.745,-62.369,1450.048688,-0.052385,-0.000527,0.001857
14 Mar 2023 04:45:00.000,-5.884,-62.400,1450.223180,-0.052379,-0.000497,0.003960
14 Mar 2023 04:46:00.000,-9.024,-62.429,1450.522380,-0.052369,-0.000444,0.006014
14 Mar 2023 04:47:00.000,-12.162,-62.454,1450.942681,-0.052355,-0.000367,0.007996
14 Mar 2023 04:48:00.000,-15.299,-62.474,1451.479016,-0.052337,-0.000265,0.009882
14 Mar 2023 04:49:00.000,-18.436,-62.486,1452.124924,-0.052315,-0.000134,0.011649
14 Mar 2023 04:50:00.000,-21.571,-62.490,1452.872627,-0.052290,0.000028,0.013276
14 Mar 2023 04:51:00.000,-24.704,-62.483,1453.713130,-0.052260,0.000228,0.014743
14 Mar 2023 04:52:00.000,-27.835,-62.463,1454.636328,-0.052227,0.000470,0.016032
14 Mar 2023 04:53:00.000,-30.964,-62.427,1455.631135,-0.052190,0.000763,0.017130
14 Mar 2023 04:54:00.000,-34.091,-62.372,1456.685615,-0.052149,0.001116,0.018022
14 Mar 2023 04:55:00.000,-37.216,-62.293,1457.787129,-0.052105,0.001544,0.018698
14 Mar 2023 04:56:00.000,-40.337,-62.186,1458.922493,-0.052056,0.002064,0.019150
14 Mar 2023 04:57:00.000,-43.456,-62.044,1460.078130,-0.052003,0.002700,0.019374
14 Mar 2023 04:58:00.000,-46.571,-61.860,1461.240239,-0.051945,0.003487,0.019366
14 Mar 2023 04:59:00.000,-49.682,-61.623,1462.394960,-0.051880,0.004469,0.019127
14 Mar 2023 05:00:00.000,-52.790,-61.320,1463.528535,-0.051806,0.005715,0.018661
14 Mar 2023 05:01:00.000,-55.892,-60.932,1464.627477,-0.051721,0.007322,0.017973
14 Mar 2023 05:02:00.000,-58.989,-60.433,1465.678725,-0.051619,0.009438,0.017071
14 Mar 2023 05:03:00.000,-62.079,-59.787,1466.669800,-0.051492,0.012298,0.015967
14 Mar 2023 05:04:00.000,-65.161,-58.938,1467.588949,-0.051328,0.016284,0.014673
14 Mar 2023 05:05:00.000,-68.231,-57.800,1468.425282,-0.051102,0.022063,0.013206
14 Mar 2023 05:06:00.000,-71.285,-56.234,1469.168902,-0.050771,0.030864,0.011583
14 Mar 2023 05:07:00.000,-74.313,-53.994,1469.811015,-0.050243,0.045157,0.009822
14 Mar 2023 05:08:00.000,-77.300,-50.608,1470.344033,-0.049314,0.070419,0.007946
14 Mar 2023 05:09:00.000,-80.207,-45.073,1470.761660,-0.047440,0.120415,0.005976
14 Mar 2023 05:10:00.000,-82.936,-34.945,1471.058968,-0.042895,0.234127,0.003935
14 Mar 2023 05:11:00.000,-85.177,-13.822,1471.232447,-0.029342,0.505666,0.001848
14 Mar 2023 05:12:00.000,-86.003,25.943,1471.280052,0.004993,0.737624,-0.000261
14 Mar 2023 05:13:00.000,-84.704,61.548,1471.201221,0.034260,0.418893,-0.002367
14 Mar 2023 05:14:00.000,-82.288,79.010,1470.996884,0.044471,0.195979,-0.004445
14 Mar 2023 05:15:00.000,-79.499,87.624,1470.669452,0.048049,0.104354,-0.006470
14 Mar 2023 05:16:00.000,-76.567,92.482,1470.222788,0.049601,0.062637,-0.008420
14 Mar 2023 05:17:00.000,-73.568,95.520,1469.662165,0.050400,0.040895,-0.010269
14 Mar 2023 05:18:00.000,-70.532,97.562,1468.994206,0.050866,0.028304,-0.011998
14 Mar 2023 05:19:00.000,-67.473,99.005,1468.226805,0.051166,0.020414,-0.013584
14 Mar 2023 05:20:00.000,-64.400,100.060,1467.369038,0.051373,0.015164,-0.015010
14 Mar 2023 05:21:00.000,-61.316,100.853,1466.431061,0.051527,0.011504,-0.016258
14 Mar 2023 05:22:00.000,-58.224,101.458,1465.423987,0.051646,0.008857,-0.017313
14 Mar 2023 05:23:00.000,-55.126,101.927,1464.359763,0.051743,0.006884,-0.018163
14 Mar 2023 05:24:00.000,-52.022,102.292,1463.251025,0.051825,0.005378,-0.018797
14 Mar 2023 05:25:00.000,-48.913,102.577,1462.110955,0.051897,0.004205,-0.019208
14 Mar 2023 05:26:00.000,-45.801,102.800,1460.953121,0.051960,0.003276,-0.019389
14 Mar 2023 05:27:00.000,-42.685,102.973,1459.791321,0.052017,0.002530,-0.019340
14 Mar 2023 05:28:00.000,-39.566,103.105,1458.639418,0.052069,0.001925,-0.019059
14 Mar 2023 05:29:00.000,-36.443,103.205,1457.511171,0.052116,0.001430,-0.018551
14 Mar 2023 05:30:00.000,-33.318,103.277,1456.420075,0.052160,0.001022,-0.017821
14 Mar 2023 05:31:00.000,-30.191,103.328,1455.379195,0.052199,0.000685,-0.016877
14 Mar 2023 05:32:00.000,-27.061,103.359,1454.401009,0.052235,0.000406,-0.015731
14 Mar 2023 05:33:00.000,-23.929,103.376,1453.497257,0.052268,0.000175,-0.014396
14 Mar 2023 05:34:00.000,-20.796,103.380,1452.678795,0.052296,-0.000015,-0.012888
14 Mar 2023 05:35:00.000,-17.661,103.374,1451.955463,0.052321,-0.000170,-0.011225
14 Mar 2023 05:36:00.000,-14.524,103.360,1451.335968,0.052342,-0.000293,-0.009426
14 Mar 2023 05:37:00.000,-11.386,103.338,1450.827767,0.052359,-0.000389,-0.007515
14 Mar 2023 05:38:00.000,-8.248,103.312,1450.436986,0.052372,-0.000459,-0.005512
14 Mar 2023 05:39:00.000,-5.108,103.283,1450.168336,0.052381,-0.000506,-0.003443
14 Mar 2023 05:40:00.000,-1.969,103.251,1450.025055,0.052386,-0.000531,-0.001333
14 Mar 2023 05:41:00.000,1.171,103.219,1450.008872,0.052386,-0.000533,0.000794
14 Mar 2023 05:42:00.000,4.311,103.187,1450.119983,0.052383,-0.000514,0.002910
14 Mar 2023 05:43:00.000,7.450,103.157,1450.357047,0.052375,-0.000473,0.004992
14 Mar 2023 05:44:00.000,10.589,103.129,1450.717205,0.052363,-0.000409,0.007014
14 Mar 2023 05:45:00.000,13.727,103.107,1451.196115,0.052347,-0.000320,0.008951
14 Mar 2023 05:46:00.000,16.864,103.091,1451.788005,0.052327,-0.000204,0.010780
14 Mar 2023 05:47:00.000,20.000,103.082,1452.485747,0.052303,-0.000057,0.012479
14 Mar 2023 05:48:00.000,23.134,103.083,1453.280943,0.052275,0.000123,0.014029
14 Mar 2023 05:49:00.000,26.266,103.097,1454.164028,0.052244,0.000343,0.015409
14 Mar 2023 05:50:00.000,29.396,103.124,1455.124393,0.052209,0.000609,0.016605
14 Mar 2023 05:51:00.000,32.525,103.170,1456.150508,0.052170,0.000931,0.017601
14 Mar 2023 05:52:00.000,35.650,103.236,1457.230070,0.052128,0.001319,0.018386
14 Mar 2023 05:53:00.000,38.773,103.329,1458.350148,0.052081,0.001790,0.018952
14 Mar 2023 05:54:00.000,41.893,103.452,1459.497340,0.052031,0.002365,0.019290
14 Mar 2023 05:55:00.000,45.010,103.614,1460.657939,0.051975,0.003071,0.019399
14 Mar 2023 05:56:00.000,48.124,103.823,1461.818092,0.051913,0.003949,0.019276
14 Mar 2023 05:57:00.000,51.233,104.091,1462.963970,0.051844,0.005053,0.018923
14 Mar 2023 05:58:00.000,54.338,104.433,1464.081931,0.051765,0.006464,0.018345
14 Mar 2023 05:59:00.000,57.438,104.873,1465.158679,0.051672,0.008302,0.017549
14 Mar 2023 06:00:00.000,60.532,105.440,1466.181426,0.051560,0.010752,0.016545
14 Mar 2023 06:01:00.000,63.618,106.179,1467.138036,0.051416,0.014113,0.015344
14 Mar 2023 06:02:00.000,66.694,107.158,1468.017172,0.051225,0.018884,0.013962
14 Mar 2023 06:03:00.000,69.757,108.487,1468.808424,0.050954,0.025963,0.012415
14 Mar 2023 06:04:00.000,72.800,110.349,1469.502431,0.050541,0.037071,0.010720
14 Mar 2023 06:05:00.000,75.810,113.080,1470.090988,0.049851,0.055831,0.008900
14 Mar 2023 06:06:00.000,78.764,117.356,1470.567142,0.048559,0.090774,0.006973
14 Mar 2023 06:07:00.000,81.601,124.715,1470.925273,0.045719,0.164782,0.004965
14 Mar 2023 06:08:00.000,84.153,139.135,1471.161154,0.038041,0.343061,0.002898
14 Mar 2023 06:09:00.000,85.852,169.637,1471.272001,0.014696,0.684621,0.000797
14 Mar 2023 06:10:00.000,85.575,-148.139,1471.256506,-0.022717,0.601362,-0.001314
14 Mar 2023 06:11:00.000,83.573,-122.517,1471.114854,-0.040767,0.283481,-0.003409
14 Mar 2023 06:12:00.000,80.923,-110.446,1470.848715,-0.046663,0.140649,-0.005463
14 Mar 2023 06:13:00.000,78.048,-104.072,1470.461228,-0.048964,0.079885,-0.007454
14 Mar 2023 06:14:00.000,75.077,-100.269,1469.956967,-0.050058,0.050199,-0.009356
14 Mar 2023 06:15:00.000,72.057,-97.796,1469.341887,-0.050661,0.033831,-0.011148
14 Mar 2023 06:16:00.000,69.008,-96.088,1468.623256,-0.051031,0.023943,-0.012808
14 Mar 2023 06:17:00.000,65.942,-94.858,1467.809568,-0.051278,0.017546,-0.014317
14 Mar 2023 06:18:00.000,62.863,-93.945,1466.910454,-0.051455,0.013183,-0.015656
14 Mar 2023 06:19:00.000,59.775,-93.253,1465.936562,-0.051590,0.010082,-0.016809
14 Mar 2023 06:20:00.000,56.679,-92.721,1464.899437,-0.051697,0.007804,-0.017764
14 Mar 2023 06:21:00.000,53.578,-92.308,1463.811389,-0.051786,0.006084,-0.018507
14 Mar 2023 06:22:00.000,50.472,-91.985,1462.685345,-0.051862,0.004758,-0.019030
14 Mar 2023 06:23:00.000,47.361,-91.733,1461.534698,-0.051929,0.003715,-0.019327
14 Mar 2023 06:24:00.000,44.247,-91.537,1460.373153,-0.051989,0.002884,-0.019394
14 Mar 2023 06:25:00.000,41.129,-91.385,1459.214560,-0.052043,0.002213,-0.019229
14 Mar 2023 06:26:00.000,38.008,-91.270,1458.072751,-0.052093,0.001666,-0.018834
14 Mar 2023 06:27:00.000,34.885,-91.184,1456.961374,-0.052138,0.001217,-0.018214
14 Mar 2023 06:28:00.000,31.759,-91.123,1455.893730,-0.052180,0.000846,-0.017376
14 Mar 2023 06:29:00.000,28.630,-91.083,1454.882610,-0.052218,0.000539,-0.016330
14 Mar 2023 06:30:00.000,25.499,-91.059,1453.940142,-0.052252,0.000285,-0.015088
14 Mar 2023 06:31:00.000,22.366,-91.049,1453.077642,-0.052282,0.000075,-0.013664
14 Mar 2023 06:32:00.000,19.232,-91.050,1452.305477,-0.052309,-0.000096,-0.012076
14 Mar 2023 06:33:00.000,16.096,-91.060,1451.632935,-0.052332,-0.000235,-0.010343
14 Mar 2023 06:34:00.000,12.959,-91.078,1451.068111,-0.052351,-0.000344,-0.008485
14 Mar 2023 06:35:00.000,9.821,-91.102,1450.617810,-0.052366,-0.000427,-0.006525
14 Mar 2023 06:36:00.000,6.682,-91.130,1450.287459,-0.052377,-0.000485,-0.004487
14 Mar 2023 06:37:00.000,3.542,-91.161,1450.081041,-0.052384,-0.000521,-0.002394
14 Mar 2023 06:38:00.000,0.402,-91.193,1450.001046,-0.052387,-0.000535,-0.000273
14 Mar 2023 06:39:00.000,-2.738,-91.226,1450.048439,-0.052385,-0.000527,0.001852
14 Mar 2023 06:40:00.000,-5.877,-91.257,1450.222648,-0.052379,-0.000497,0.003955
14 Mar 2023 06:41:00.000,-9.016,-91.286,1450.521572,-0.052369,-0.000444,0.006010
14 Mar 2023 06:42:00.000,-12.155,-91.311,1450.941607,-0.052355,-0.000368,0.007992
14 Mar 2023 06:43:00.000,-15.292,-91.330,1451.477688,-0.052337,-0.000265,0.009878
14 Mar 2023 06:44:00.000,-18.429,-91.343,1452.123358,-0.052315,-0.000135,0.011645
14 Mar 2023 06:45:00.000,-21.564,-91.347,1452.870843,-0.052290,0.000028,0.013272
14 Mar 2023 06:46:00.000,-24.697,-91.340,1453.711149,-0.052260,0.000227,0.014739
14 Mar 2023 06:47:00.000,-27.828,-91.320,1454.634174,-0.052227,0.000469,0.016030
14 Mar 2023 06:48:00.000,-30.957,-91.284,1455.628833,-0.052190,0.000762,0.017127
14 Mar 2023 06:49:00.000,-34.084,-91.228,1456.683193,-0.052149,0.001115,0.018020
14 Mar 2023 06:50:00.000,-37.209,-91.149,1457.784616,-0.052105,0.001543,0.018696
14 Mar 2023 06:51:00.000,-40.330,-91.042,1458.919919,-0.052057,0.002062,0.019149
14 Mar 2023 06:52:00.000,-43.449,-90.901,1460.075526,-0.052004,0.002699,0.019373
14 Mar 2023 06:53:00.000,-46.564,-90.717,1461.237636,-0.051945,0.003485,0.019366
14 Mar 2023 06:54:00.000,-49.675,-90.480,1462.392389,-0.051880,0.004467,0.019128
14 Mar 2023 06:55:00.000,-52.783,-90.177,1463.526027,-0.051806,0.005712,0.018662
14 Mar 2023 06:56:00.000,-55.885,-89.789,1464.625062,-0.051721,0.007318,0.017975
14 Mar 2023 06:57:00.000,-58.982,-89.291,1465.676431,-0.051619,0.009433,0.017073
14 Mar 2023 06:58:00.000,-62.073,-88.645,1466.667654,-0.051493,0.012290,0.015970
14 Mar 2023 06:59:00.000,-65.154,-87.796,1467.586976,-0.051328,0.016273,0.014677
14 Mar 2023 07:00:00.000,-68.224,-86.660,1468.423507,-0.051103,0.022047,0.013210
14 Mar 2023 07:01:00.000,-71.278,-85.095,1469.167345,-0.050772,0.030840,0.011587
14 Mar 2023 07:02:00.000,-74.307,-82.856,1469.809695,-0.050245,0.045116,0.009827
14 Mar 2023 07:03:00.000,-77.293,-79.474,1470.342965,-0.049317,0.070343,0.007950
14 Mar 2023 07:04:00.000,-80.200,-73.946,1470.760857,-0.047446,0.120254,0.005980
14 Mar 2023 07:05:00.000,-82.930,-63.833,1471.058438,-0.042911,0.233741,0.003940
14 Mar 2023 07:06:00.000,-85.173,-42.746,1471.232198,-0.029393,0.504835,0.001853
14 Mar 2023 07:07:00.000,-86.004,-3.012,1471.280087,0.004903,0.737870,-0.000256
14 Mar 2023 07:08:00.000,-84.709,32.635,1471.201539,0.034221,0.419627,-0.002362
14 Mar 2023 07:09:00.000,-82.294,50.128,1470.997482,0.044458,0.196288,-0.004440
14 Mar 2023 07:10:00.000,-79.505,58.754,1470.670321,0.048044,0.104486,-0.006466
14 Mar 2023 07:11:00.000,-76.574,63.617,1470.223919,0.049599,0.062702,-0.008415
14 Mar 2023 07:12:00.000,-73.575,66.658,1469.663545,0.050399,0.040931,-0.010265
14 Mar 2023 07:13:00.000,-70.539,68.702,1468.995818,0.050865,0.028326,-0.011994
14 Mar 2023 07:14:00.000,-67.480,70.145,1468.228630,0.051165,0.020428,-0.013581
14 Mar 2023 07:15:00.000,-64.407,71.202,1467.371055,0.051373,0.015174,-0.015007
14 Mar 2023 07:16:00.000,-61.323,71.995,1466.433246,0.051526,0.011511,-0.016255
14 Mar 2023 07:17:00.000,-58.231,72.601,1465.426314,0.051646,0.008862,-0.017311
14 Mar 2023 07:18:00.000,-55.133,73.070,1464.362204,0.051743,0.006888,-0.018161
14 Mar 2023 07:19:00.000,-52.029,73.435,1463.253551,0.051825,0.005381,-0.018796
14 Mar 2023 07:20:00.000,-48.920,73.720,1462.113536,0.051897,0.004207,-0.019207
14 Mar 2023 07:21:00.000,-45.808,73.943,1460.955727,0.051960,0.003278,-0.019389
14 Mar 2023 07:22:00.000,-42.692,74.116,1459.793920,0.052017,0.002532,-0.019340
14 Mar 2023 07:23:00.000,-39.573,74.248,1458.641979,0.052069,0.001927,-0.019060
14 Mar 2023 07:24:00.000,-36.450,74.348,1457.513664,0.052116,0.001431,-0.018552
14 Mar 2023 07:25:00.000,-33.325,74.421,1456.422470,0.052160,0.001023,-0.017823
14 Mar 2023 07:26:00.000,-30.198,74.471,1455.381463,0.052199,0.000686,-0.016879
14 Mar 2023 07:27:00.000,-27.068,74.503,1454.403124,0.052235,0.000406,-0.015734
14 Mar 2023 07:28:00.000,-23.936,74.520,1453.499192,0.052268,0.000175,-0.014399
14 Mar 2023 07:29:00.000,-20.803,74.524,1452.680527,0.052296,-0.000015,-0.012891
14 Mar 2023 07:30:00.000,-17.668,74.518,1451.956972,0.052321,-0.000169,-0.011228
14 Mar 2023 07:31:00.000,-14.531,74.503,1451.337235,0.052342,-0.000293,-0.009431
14 Mar 2023 07:32:00.000,-11.393,74.482,1450.828778,0.052359,-0.000388,-0.007519
14 Mar 2023 07:33:00.000,-8.255,74.456,1450.437728,0.052372,-0.000459,-0.005517
