"Time (UTCG)","Lat (deg)","Lon (deg)","Alt (km)","Lat Rate (deg/sec)","Lon Rate (deg/sec)","Alt Rate (km/sec)"
14 Mar 2023 04:00:00.000,45.017,-167.529,1460.660546,0.051975,0.003073,0.019399
14 Mar 2023 04:01:00.000,48.131,-167.320,1461.820682,0.051913,0.003951,0.019275
14 Mar 2023 04:02:00.000,51.240,-167.052,1462.966513,0.051844,0.005056,0.018922
14 Mar 2023 04:03:00.000,54.345,-166.709,1464.084396,0.051765,0.006468,0.018343
14 Mar 2023 04:04:00.000,57.445,-166.270,1465.161038,0.051672,0.008307,0.017547
14 Mar 2023 04:05:00.000,60.539,-165.702,1466.183649,0.051559,0.010759,0.016542
14 Mar 2023 04:06:00.000,63.625,-164.963,1467.140098,0.051416,0.014121,0.015341
14 Mar 2023 04:07:00.000,66.701,-163.983,1468.019049,0.051225,0.018897,0.013959
14 Mar 2023 04:08:00.000,69.764,-162.653,1468.810092,0.050953,0.025982,0.012411
14 Mar 2023 04:09:00.000,72.806,-160.790,1469.503871,0.050540,0.037103,0.010717
14 Mar 2023 04:10:00.000,75.817,-158.056,1470.092183,0.049849,0.055887,0.008895
14 Mar 2023 04:11:00.000,78.770,-153.775,1470.568079,0.048555,0.090883,0.006969
14 Mar 2023 04:12:00.000,81.607,-146.406,1470.925940,0.045710,0.165027,0.004961
14 Mar 2023 04:13:00.000,84.158,-131.963,1471.161543,0.038013,0.343666,0.002893
14 Mar 2023 04:14:00.000,85.854,-101.414,1471.272107,0.014615,0.685275,0.000792
14 Mar 2023 04:15:00.000,85.572,-59.202,1471.256330,-0.022783,0.600528,-0.001318
14 Mar 2023 04:16:00.000,83.568,-33.623,1471.114396,-0.040789,0.282994,-0.003413
14 Mar 2023 04:17:00.000,80.917,-21.571,1470.847980,-0.046671,0.140451,-0.005468
14 Mar 2023 04:18:00.000,78.041,-15.205,1470.460226,-0.048967,0.079794,-0.007458
14 Mar 2023 04:19:00.000,75.070,-11.406,1469.955710,-0.050060,0.050151,-0.009360
14 Mar 2023 04:20:00.000,72.050,-8.935,1469.340389,-0.050662,0.033803,-0.011152
14 Mar 2023 04:21:00.000,69.001,-7.228,1468.621534,-0.051031,0.023925,-0.012812
14 Mar 2023 04:22:00.000,65.935,-5.999,1467.807644,-0.051278,0.017534,-0.014320
14 Mar 2023 04:23:00.000,62.856,-5.087,1466.908350,-0.051455,0.013175,-0.015659
14 Mar 2023 04:24:00.000,59.768,-4.396,1465.934303,-0.051590,0.010076,-0.016812
14 Mar 2023 04:25:00.000,56.672,-3.864,1464.897050,-0.051697,0.007799,-0.017766
14 Mar 2023 04:26:00.000,53.571,-3.451,1463.808902,-0.051786,0.006081,-0.018508
14 Mar 2023 04:27:00.000,50.465,-3.128,1462.682787,-0.051862,0.004755,-0.019031
14 Mar 2023 04:28:00.000,47.354,-2.876,1461.532101,-0.051929,0.003713,-0.019327
14 Mar 2023 04:29:00.000,44.240,-2.680,1460.370547,-0.051989,0.002883,-0.019393
14 Mar 2023 04:30:00.000,41.122,-2.528,1459.211976,-0.052044,0.002212,-0.019228
14 Mar 2023 04:31:00.000,38.001,-2.413,1458.070220,-0.052093,0.001665,-0.018833
14 Mar 2023 04:32:00.000,34.878,-2.328,1456.958927,-0.052139,0.001216,-0.018212
14 Mar 2023 04:33:00.000,31.751,-2.267,1455.891395,-0.052180,0.000845,-0.017374
14 Mar 2023 04:34:00.000,28.623,-2.226,1454.880415,-0.052218,0.000538,-0.016327
14 Mar 2023 04:35:00.000,25.492,-2.202,1453.938114,-0.052252,0.000284,-0.015085
