"Time (UTCG)","Lat (deg)","Lon (deg)","Alt (km)","Lat Rate (deg/sec)","Lon Rate (deg/sec)","Alt Rate (km/sec)"
14 Mar 2023 04:00:00.000,-45.017,-175.510,1460.660546,0.051975,0.003073,-0.019399
14 Mar 2023 04:01:00.000,-41.900,-175.348,1459.499933,0.052030,0.002366,-0.019291
14 Mar 2023 04:02:00.000,-38.780,-175.225,1458.352695,0.052081,0.001791,-0.018953
14 Mar 2023 04:03:00.000,-35.657,-175.132,1457.232541,0.052128,0.001320,-0.018388
14 Mar 2023 04:04:00.000,-32.532,-175.066,1456.152874,0.052170,0.000931,-0.017603
14 Mar 2023 04:05:00.000,-29.403,-175.020,1455.126624,0.052209,0.000610,-0.016607
14 Mar 2023 04:06:00.000,-26.273,-174.993,1454.166099,0.052244,0.000343,-0.015412
14 Mar 2023 04:07:00.000,-23.141,-174.979,1453.282828,0.052275,0.000123,-0.014032
14 Mar 2023 04:08:00.000,-20.007,-174.978,1452.487425,0.052303,-0.000057,-0.012483
14 Mar 2023 04:09:00.000,-16.871,-174.987,1451.789454,0.052327,-0.000203,-0.010784
14 Mar 2023 04:10:00.000,-13.734,-175.003,1451.197318,0.052347,-0.000320,-0.008955
14 Mar 2023 04:11:00.000,-10.596,-175.025,1450.718148,0.052363,-0.000409,-0.007018
14 Mar 2023 04:12:00.000,-7.458,-175.052,1450.357718,0.052375,-0.000473,-0.004997
14 Mar 2023 04:13:00.000,-4.318,-175.083,1450.120374,0.052383,-0.000514,-0.002915
14 Mar 2023 04:14:00.000,-1.178,-175.115,1450.008979,0.052386,-0.000533,-0.000798
14 Mar 2023 04:15:00.000,1.962,-175.147,1450.024876,0.052386,-0.000531,0.001328
14 Mar 2023 04:16:00.000,5.101,-175.179,1450.167873,0.052381,-0.000506,0.003439
14 Mar 2023 04:17:00.000,8.241,-175.208,1450.436246,0.052372,-0.000459,0.005508
14 Mar 2023 04:18:00.000,11.379,-175.234,1450.826758,0.052359,-0.000389,0.007510
