"Time (UTCG)","Lat (deg)","Lon (deg)","Alt (km)","Lat Rate (deg/sec)","Lon Rate (deg/sec)","Alt Rate (km/sec)"
14 Mar 2023 04:00:00.000,-22.553,156.825,1453.126578,0.052281,0.000087,-0.013754
14 Mar 2023 04:01:00.000,-19.419,156.825,1452.348761,0.052308,-0.000087,-0.012175
14 Mar 2023 04:02:00.000,-16.283,156.814,1451.670047,0.052331,-0.000227,-0.010450
14 Mar 2023 04:03:00.000,-13.146,156.797,1451.098604,0.052350,-0.000338,-0.008599
14 Mar 2023 04:04:00.000,-10.007,156.773,1450.641316,0.052365,-0.000423,-0.006645
14 Mar 2023 04:05:00.000,-6.868,156.746,1450.303695,0.052377,-0.000483,-0.004610
14 Mar 2023 04:06:00.000,-3.729,156.715,1450.089811,0.052384,-0.000520,-0.002520
14 Mar 2023 04:07:00.000,-0.589,156.683,1450.002245,0.052386,-0.000534,-0.000399
14 Mar 2023 04:08:00.000,2.551,156.650,1450.042052,0.052385,-0.000528,0.001726
14 Mar 2023 04:09:00.000,5.690,156.619,1450.208752,0.052380,-0.000499,0.003831
14 Mar 2023 04:10:00.000,8.830,156.590,1450.500335,0.052370,-0.000448,0.005889
14 Mar 2023 04:11:00.000,11.968,156.565,1450.913284,0.052356,-0.000373,0.007877
14 Mar 2023 04:12:00.000,15.106,156.545,1451.442622,0.052339,-0.000272,0.009769
14 Mar 2023 04:13:00.000,18.242,156.532,1452.081970,0.052317,-0.000143,0.011544
14 Mar 2023 04:14:00.000,21.377,156.527,1452.823631,0.052291,0.000017,0.013180
14 Mar 2023 04:15:00.000,24.510,156.534,1453.658681,0.052262,0.000214,0.014657
14 Mar 2023 04:16:00.000,27.642,156.553,1454.577081,0.052229,0.000454,0.015958
14 Mar 2023 04:17:00.000,30.771,156.588,1455.567801,0.052192,0.000743,0.017068
14 Mar 2023 04:18:00.000,33.898,156.642,1456.618952,0.052152,0.001092,0.017973
14 Mar 2023 04:19:00.000,37.023,156.719,1457.717938,0.052108,0.001515,0.018662
14 Mar 2023 04:20:00.000,40.144,156.824,1458.851600,0.052060,0.002029,0.019129
14 Mar 2023 04:21:00.000,43.263,156.964,1460.006382,0.052007,0.002657,0.019366
14 Mar 2023 04:22:00.000,46.378,157.145,1461.168494,0.051949,0.003433,0.019373
14 Mar 2023 04:23:00.000,49.490,157.378,1462.324072,0.051884,0.004402,0.019149
14 Mar 2023 04:24:00.000,52.598,157.677,1463.459348,0.051811,0.005629,0.018696
14 Mar 2023 04:25:00.000,55.701,158.059,1464.560815,0.051727,0.007210,0.018022
14 Mar 2023 04:26:00.000,58.798,158.550,1465.615379,0.051626,0.009289,0.017133
14 Mar 2023 04:27:00.000,61.889,159.186,1466.610521,0.051501,0.012093,0.016041
14 Mar 2023 04:28:00.000,64.971,160.020,1467.534440,0.051340,0.015994,0.014759
14 Mar 2023 04:29:00.000,68.042,161.136,1468.376189,0.051119,0.021635,0.013302
14 Mar 2023 04:30:00.000,71.097,162.670,1469.125805,0.050796,0.030196,0.011687
14 Mar 2023 04:31:00.000,74.127,164.859,1469.774424,0.050285,0.044036,0.009935
14 Mar 2023 04:32:00.000,77.117,168.153,1470.314380,0.049391,0.068353,0.008065
14 Mar 2023 04:33:00.000,80.031,173.506,1470.739295,0.047605,0.116098,0.006100
14 Mar 2023 04:34:00.000,82.776,-176.775,1471.044155,0.043329,0.223762,0.004063
14 Mar 2023 04:35:00.000,85.066,-156.635,1471.225362,0.030703,0.482993,0.001978
14 Mar 2023 04:36:00.000,86.017,-117.782,1471.280777,-0.002505,0.742800,-0.000131
14 Mar 2023 04:37:00.000,84.829,-81.024,1471.209748,-0.033158,0.439514,-0.002237
14 Mar 2023 04:38:00.000,82.452,-62.714,1471.013113,-0.044114,0.204720,-0.004318
14 Mar 2023 04:39:00.000,79.677,-53.751,1470.693190,-0.047909,0.108079,-0.006347
14 Mar 2023 04:40:00.000,76.751,-48.736,1470.253756,-0.049534,0.064466,-0.008302
14 Mar 2023 04:41:00.000,73.754,-45.615,1469.699998,-0.050363,0.041907,-0.010158
14 Mar 2023 04:42:00.000,70.720,-43.526,1469.038455,-0.050843,0.028917,-0.011895
14 Mar 2023 04:43:00.000,67.663,-42.054,1468.276948,-0.051150,0.020811,-0.013491
14 Mar 2023 04:44:00.000,64.591,-40.979,1467.424482,-0.051362,0.015435,-0.014927
14 Mar 2023 04:45:00.000,61.507,-40.172,1466.491149,-0.051518,0.011697,-0.016186
14 Mar 2023 04:46:00.000,58.416,-39.557,1465.488007,-0.051639,0.008998,-0.017254
14 Mar 2023 04:47:00.000,55.317,-39.081,1464.426955,-0.051738,0.006991,-0.018117
14 Mar 2023 04:48:00.000,52.214,-38.710,1463.320590,-0.051821,0.005461,-0.018764
14 Mar 2023 04:49:00.000,49.106,-38.421,1462.182066,-0.051893,0.004270,-0.019189
14 Mar 2023 04:50:00.000,45.994,-38.195,1461.024931,-0.051956,0.003328,-0.019385
14 Mar 2023 04:51:00.000,42.878,-38.019,1459.862975,-0.052014,0.002572,-0.019350
14 Mar 2023 04:52:00.000,39.759,-37.884,1458.710059,-0.052066,0.001959,-0.019083
14 Mar 2023 04:53:00.000,36.636,-37.783,1457.579955,-0.052113,0.001458,-0.018589
14 Mar 2023 04:54:00.000,33.512,-37.709,1456.486179,-0.052157,0.001045,-0.017872
14 Mar 2023 04:55:00.000,30.384,-37.657,1455.441828,-0.052197,0.000704,-0.016941
14 Mar 2023 04:56:00.000,27.255,-37.624,1454.459419,-0.052233,0.000421,-0.015807
14 Mar 2023 04:57:00.000,24.123,-37.607,1453.550742,-0.052266,0.000188,-0.014484
14 Mar 2023 04:58:00.000,20.989,-37.602,1452.726713,-0.052295,-0.000004,-0.012986
14 Mar 2023 04:59:00.000,17.854,-37.608,1451.997238,-0.052320,-0.000161,-0.011331
14 Mar 2023 05:00:00.000,14.718,-37.622,1451.371096,-0.052341,-0.000286,-0.009541
14 Mar 2023 05:01:00.000,11.580,-37.642,1450.855826,-0.052358,-0.000384,-0.007636
14 Mar 2023 05:02:00.000,8.442,-37.668,1450.457637,-0.052371,-0.000455,-0.005638
14 Mar 2023 05:03:00.000,5.302,-37.698,1450.181329,-0.052381,-0.000504,-0.003573
14 Mar 2023 05:04:00.000,2.163,-37.729,1450.030235,-0.052386,-0.000530,-0.001464
14 Mar 2023 05:05:00.000,-0.977,-37.762,1450.006176,-0.052386,-0.000534,0.000662
14 Mar 2023 05:06:00.000,-4.117,-37.794,1450.109444,-0.052383,-0.000516,0.002780
14 Mar 2023 05:07:00.000,-7.256,-37.824,1450.338791,-0.052375,-0.000476,0.004865
14 Mar 2023 05:08:00.000,-10.395,-37.851,1450.691453,-0.052364,-0.000414,0.006891
14 Mar 2023 05:09:00.000,-13.533,-37.874,1451.163177,-0.052348,-0.000326,0.008834
14 Mar 2023 05:10:00.000,-16.670,-37.891,1451.748279,-0.052328,-0.000212,0.010670
14 Mar 2023 05:11:00.000,-19.806,-37.900,1452.439710,-0.052305,-0.000067,0.012378
14 Mar 2023 05:12:00.000,-22.940,-37.899,1453.229148,-0.052277,0.000111,0.013938
14 Mar 2023 05:13:00.000,-26.073,-37.887,1454.107100,-0.052246,0.000328,0.015329
14 Mar 2023 05:14:00.000,-29.203,-37.860,1455.063014,-0.052211,0.000591,0.016536
14 Mar 2023 05:15:00.000,-32.331,-37.816,1456.085416,-0.052173,0.000909,0.017545
14 Mar 2023 05:16:00.000,-35.457,-37.751,1457.162044,-0.052130,0.001293,0.018344
14 Mar 2023 05:17:00.000,-38.580,-37.660,1458.280002,-0.052084,0.001758,0.018923
14 Mar 2023 05:18:00.000,-41.701,-37.539,1459.425914,-0.052034,0.002326,0.019276
14 Mar 2023 05:19:00.000,-44.818,-37.380,1460.586085,-0.051979,0.003023,0.019399
14 Mar 2023 05:20:00.000,-47.931,-37.174,1461.746668,-0.051917,0.003889,0.019290
14 Mar 2023 05:21:00.000,-51.041,-36.910,1462.893826,-0.051849,0.004977,0.018951
14 Mar 2023 05:22:00.000,-54.146,-36.573,1464.013902,-0.051771,0.006366,0.018387
14 Mar 2023 05:23:00.000,-57.247,-36.140,1465.093574,-0.051679,0.008173,0.017604
14 Mar 2023 05:24:00.000,-60.341,-35.582,1466.120017,-0.051567,0.010578,0.016613
14 Mar 2023 05:25:00.000,-63.428,-34.855,1467.081052,-0.051426,0.013871,0.015424
14 Mar 2023 05:26:00.000,-66.505,-33.893,1467.965288,-0.051239,0.018534,0.014053
14 Mar 2023 05:27:00.000,-69.568,-32.590,1468.762254,-0.050974,0.025433,0.012515
14 Mar 2023 05:28:00.000,-72.612,-30.769,1469.462520,-0.050573,0.036215,0.010829
14 Mar 2023 05:29:00.000,-75.625,-28.106,1470.057809,-0.049907,0.054331,0.009015
14 Mar 2023 05:30:00.000,-78.584,-23.957,1470.541087,-0.048668,0.087841,0.007095
14 Mar 2023 05:31:00.000,-81.431,-16.865,1470.906649,-0.045979,0.158200,0.005091
14 Mar 2023 05:32:00.000,-84.010,-3.088,1471.150180,-0.038804,0.326812,0.003027
14 Mar 2023 05:33:00.000,-85.793,26.153,1471.268807,-0.016864,0.665638,0.000927
14 Mar 2023 05:34:00.000,-85.656,68.609,1471.261131,0.020841,0.624024,-0.001183
14 Mar 2023 05:35:00.000,-83.723,95.425,1471.127242,0.040151,0.297322,-0.003280
14 Mar 2023 05:36:00.000,-81.095,108.041,1470.868719,0.046445,0.146264,-0.005338
14 Mar 2023 05:37:00.000,-78.229,114.645,1470.488613,0.048869,0.082454,-0.007333
14 Mar 2023 05:38:00.000,-75.262,118.560,1469.991411,0.050009,0.051543,-0.009242
14 Mar 2023 05:39:00.000,-72.244,121.095,1469.382982,0.050632,0.034611,-0.011041
14 Mar 2023 05:40:00.000,-69.197,122.840,1468.670515,0.051012,0.024432,-0.012710
14 Mar 2023 05:41:00.000,-66.132,124.094,1467.862434,0.051265,0.017872,-0.014228
14 Mar 2023 05:42:00.000,-63.053,125.023,1466.968301,0.051445,0.013410,-0.015578
14 Mar 2023 05:43:00.000,-59.966,125.727,1465.998704,0.051582,0.010246,-0.016744
14 Mar 2023 05:44:00.000,-56.871,126.267,1464.965137,0.051691,0.007926,-0.017711
14 Mar 2023 05:45:00.000,-53.770,126.687,1463.879867,0.051781,0.006178,-0.018467
14 Mar 2023 05:46:00.000,-50.664,127.015,1462.755786,0.051858,0.004831,-0.019004
14 Mar 2023 05:47:00.000,-47.554,127.271,1461.606265,0.051925,0.003773,-0.019315
14 Mar 2023 05:48:00.000,-44.440,127.470,1460.444993,0.051986,0.002931,-0.019396
14 Mar 2023 05:49:00.000,-41.322,127.624,1459.285815,0.052040,0.002251,-0.019245
14 Mar 2023 05:50:00.000,-38.201,127.742,1458.142571,0.052090,0.001697,-0.018865
14 Mar 2023 05:51:00.000,-35.078,127.829,1457.028923,0.052136,0.001242,-0.018259
14 Mar 2023 05:52:00.000,-31.952,127.891,1455.958199,0.052177,0.000867,-0.017434
14 Mar 2023 05:53:00.000,-28.823,127.933,1454.943227,0.052216,0.000556,-0.016400
14 Mar 2023 05:54:00.000,-25.693,127.958,1453.996179,0.052250,0.000299,-0.015170
14 Mar 2023 05:55:00.000,-22.560,127.969,1453.128427,0.052281,0.000087,-0.013757
