"Time (UTCG)","Lat (deg)","Lon (deg)","Alt (km)","Lat Rate (deg/sec)","Lon Rate (deg/sec)","Alt Rate (km/sec)"
14 Mar 2023 04:00:00.000,45.017,4.490,1460.660546,-0.051975,0.003073,-0.019399
14 Mar 2023 04:01:00.000,41.900,4.652,1459.499933,-0.052030,0.002366,-0.019291
14 Mar 2023 04:02:00.000,38.780,4.775,1458.352695,-0.052081,0.001791,-0.018953
14 Mar 2023 04:03:00.000,35.657,4.868,1457.232541,-0.052128,0.001320,-0.018388
14 Mar 2023 04:04:00.000,32.532,4.934,1456.152874,-0.052170,0.000931,-0.017603
14 Mar 2023 04:05:00.000,29.403,4.980,1455.126624,-0.052209,0.000610,-0.016607
14 Mar 2023 04:06:00.000,26.273,5.007,1454.166099,-0.052244,0.000343,-0.015412
14 Mar 2023 04:07:00.000,23.141,5.021,1453.282828,-0.052275,0.000123,-0.014032
14 Mar 2023 04:08:00.000,20.007,5.022,1452.487425,-0.052303,-0.000057,-0.012483
14 Mar 2023 04:09:00.000,16.871,5.013,1451.789454,-0.052327,-0.000203,-0.010784
14 Mar 2023 04:10:00.000,13.734,4.997,1451.197318,-0.052347,-0.000320,-0.008955
14 Mar 2023 04:11:00.000,10.596,4.975,1450.718148,-0.052363,-0.000409,-0.007018
14 Mar 2023 04:12:00.000,7.458,4.948,1450.357718,-0.052375,-0.000473,-0.004997
14 Mar 2023 04:13:00.000,4.318,4.917,1450.120374,-0.052383,-0.000514,-0.002915
14 Mar 2023 04:14:00.000,1.178,4.885,1450.008979,-0.052386,-0.000533,-0.000798
14 Mar 2023 04:15:00.000,-1.962,4.853,1450.024876,-0.052386,-0.000531,0.001328
14 Mar 2023 04:16:00.000,-5.101,4.821,1450.167873,-0.052381,-0.000506,0.003439
14 Mar 2023 04:17:00.000,-8.241,4.792,1450.436246,-0.052372,-0.000459,0.005508
14 Mar 2023 04:18:00.000,-11.379,4.766,1450.826758,-0.052359,-0.000389,0.007510
14 Mar 2023 04:19:00.000,-14.517,4.745,1451.334701,-0.052342,-0.000293,0.009422
14 Mar 2023 04:20:00.000,-17.654,4.730,1451.953955,-0.052321,-0.000170,0.011221
14 Mar 2023 04:21:00.000,-20.789,4.724,1452.677063,-0.052296,-0.000015,0.012884
14 Mar 2023 04:22:00.000,-23.922,4.728,1453.495322,-0.052268,0.000174,0.014393
14 Mar 2023 04:23:00.000,-27.054,4.745,1454.398895,-0.052235,0.000405,0.015728
14 Mar 2023 04:24:00.000,-30.184,4.776,1455.376927,-0.052199,0.000684,0.016875
14 Mar 2023 04:25:00.000,-33.311,4.827,1456.417680,-0.052160,0.001021,0.017819
14 Mar 2023 04:26:00.000,-36.436,4.899,1457.508677,-0.052116,0.001429,0.018550
14 Mar 2023 04:27:00.000,-39.559,4.999,1458.636856,-0.052069,0.001924,0.019058
14 Mar 2023 04:28:00.000,-42.678,5.131,1459.788722,-0.052017,0.002529,0.019339
14 Mar 2023 04:29:00.000,-45.794,5.304,1460.950515,-0.051960,0.003274,0.019389
14 Mar 2023 04:30:00.000,-48.907,5.526,1462.108373,-0.051897,0.004203,0.019208
14 Mar 2023 04:31:00.000,-52.015,5.811,1463.248499,-0.051826,0.005375,0.018798
14 Mar 2023 04:32:00.000,-55.119,6.176,1464.357322,-0.051743,0.006880,0.018165
14 Mar 2023 04:33:00.000,-58.217,6.644,1465.421660,-0.051646,0.008852,0.017315
14 Mar 2023 04:34:00.000,-61.309,7.250,1466.428875,-0.051527,0.011497,0.016261
14 Mar 2023 04:35:00.000,-64.393,8.042,1467.367020,-0.051374,0.015154,0.015013
14 Mar 2023 04:36:00.000,-67.467,9.097,1468.224979,-0.051166,0.020400,0.013588
14 Mar 2023 04:37:00.000,-70.525,10.538,1468.992593,-0.050867,0.028282,0.012001
14 Mar 2023 04:38:00.000,-73.561,12.578,1469.660785,-0.050401,0.040859,0.010273
14 Mar 2023 04:39:00.000,-76.560,15.614,1470.221656,-0.049604,0.062572,0.008424
14 Mar 2023 04:40:00.000,-79.493,20.466,1470.668582,-0.048054,0.104222,0.006475
14 Mar 2023 04:41:00.000,-82.282,29.067,1470.996287,-0.044483,0.195671,0.004449
14 Mar 2023 04:42:00.000,-84.700,46.500,1471.200903,-0.034299,0.418160,0.002372
14 Mar 2023 04:43:00.000,-86.002,82.062,1471.280017,-0.005083,0.737373,0.000266
14 Mar 2023 04:44:00.000,-85.181,121.858,1471.232695,0.029291,0.506498,-0.001843
14 Mar 2023 04:45:00.000,-82.942,143.018,1471.059496,0.042879,0.234515,-0.003930
