"Time (UTCG)","Lat (deg)","Lon (deg)","Alt (km)","Lat Rate (deg/sec)","Lon Rate (deg/sec)","Alt Rate (km/sec)"
14 Mar 2023 04:00:00.000,0.000,-111.520,1450.000000,0.052387,-0.000535,0.000000
14 Mar 2023 04:01:00.000,3.140,-111.552,1450.063700,0.052384,-0.000524,0.002123
14 Mar 2023 04:02:00.000,6.279,-111.583,1450.254033,0.052378,-0.000491,0.004221
14 Mar 2023 04:03:00.000,9.418,-111.611,1450.568701,0.052368,-0.000436,0.006268
14 Mar 2023 04:04:00.000,12.557,-111.636,1451.003912,0.052353,-0.000356,0.008240
14 Mar 2023 04:05:00.000,15.694,-111.655,1451.554419,0.052335,-0.000250,0.010112
14 Mar 2023 04:06:00.000,18.830,-111.666,1452.213591,0.052312,-0.000116,0.011862
14 Mar 2023 04:07:00.000,21.965,-111.669,1452.973491,0.052286,0.000051,0.013469
14 Mar 2023 04:08:00.000,25.098,-111.660,1453.824977,0.052256,0.000256,0.014915
14 Mar 2023 04:09:00.000,28.229,-111.638,1454.757816,0.052222,0.000504,0.016181
14 Mar 2023 04:10:00.000,31.358,-111.600,1455.760804,0.052185,0.000803,0.017253
14 Mar 2023 04:11:00.000,34.484,-111.542,1456.821911,0.052144,0.001165,0.018119
14 Mar 2023 04:12:00.000,37.608,-111.460,1457.928420,0.052099,0.001604,0.018767
14 Mar 2023 04:13:00.000,40.730,-111.349,1459.067087,0.052050,0.002137,0.019191
14 Mar 2023 04:14:00.000,43.848,-111.202,1460.224301,0.051996,0.002790,0.019385
14 Mar 2023 04:15:00.000,46.963,-111.012,1461.386242,0.051937,0.003598,0.019348
14 Mar 2023 04:16:00.000,50.074,-110.768,1462.539054,0.051871,0.004610,0.019081
14 Mar 2023 04:17:00.000,53.180,-110.455,1463.669006,0.051796,0.005895,0.018586
14 Mar 2023 04:18:00.000,56.282,-110.055,1464.762654,0.051709,0.007556,0.017871
14 Mar 2023 04:19:00.000,59.379,-109.540,1465.807003,0.051605,0.009751,0.016943
14 Mar 2023 04:20:00.000,62.468,-108.871,1466.789656,0.051474,0.012727,0.015814
14 Mar 2023 04:21:00.000,65.548,-107.991,1467.698963,0.051304,0.016894,0.014498
14 Mar 2023 04:22:00.000,68.616,-106.809,1468.524152,0.051068,0.022969,0.013010
14 Mar 2023 04:23:00.000,71.668,-105.175,1469.255458,0.050718,0.032288,0.011368
14 Mar 2023 04:24:00.000,74.692,-102.823,1469.884234,0.050155,0.047564,0.009592
14 Mar 2023 04:25:00.000,77.671,-99.239,1470.403049,0.049149,0.074904,0.007703
14 Mar 2023 04:26:00.000,80.563,-93.309,1470.805778,0.047077,0.129909,0.005722
14 Mar 2023 04:27:00.000,83.256,-82.273,1471.087666,0.041916,0.257151,0.003675
14 Mar 2023 04:28:00.000,85.387,-59.009,1471.245387,0.026273,0.553027,0.001583
14 Mar 2023 04:29:00.000,85.947,-17.741,1471.277082,-0.009937,0.717145,-0.000527
14 Mar 2023 04:30:00.000,84.438,15.377,1471.182375,-0.036274,0.379483,-0.002630
14 Mar 2023 04:31:00.000,81.950,31.247,1470.962385,-0.045129,0.179629,-0.004703
14 Mar 2023 04:32:00.000,79.136,39.206,1470.619706,-0.048314,0.097297,-0.006720
14 Mar 2023 04:33:00.000,76.192,43.762,1470.158383,-0.049730,0.059128,-0.008658
14 Mar 2023 04:34:00.000,73.187,46.642,1469.583862,-0.050472,0.038936,-0.010494
